date,type,likes,views,duration_s,shortcode,url,caption
2026-01-18,Video,3131,33266,162,DTptHI9j2ZB,https://www.instagram.com/p/DTptHI9j2ZB/,"The magic of ""แล้ว""(láew)"
2026-01-17,Carousel,43,0,0,DTnRHtRD9CD,https://www.instagram.com/p/DTnRHtRD9CD/,Let's learn how to say all 12 months in Thai!
2026-01-16,Video,644,9305,99,DTkr7QbD6Fh,https://www.instagram.com/p/DTkr7QbD6Fh/,"In Thailand, we say 'mâi bpen rai' for almost everything. But do you know when to use it?"
2026-01-07,Carousel,20,0,0,DTNwAV4D7We,https://www.instagram.com/p/DTNwAV4D7We/,Animal names and their sound in Thai!
2025-11-25,Carousel,6,0,0,DRe9M01j3s3,https://www.instagram.com/p/DRe9M01j3s3/,Thai words for Online shopping!!!
2025-11-21,Carousel,11,0,0,DRUgttzj4s2,https://www.instagram.com/p/DRUgttzj4s2/,"Thailand ""must try!"""
2025-11-21,Carousel,5,0,0,DRUfzvIjyTg,https://www.instagram.com/p/DRUfzvIjyTg/,Public Transportation Adventures in Thailand!
2025-11-18,Carousel,12,0,0,DRMxw0VDy-u,https://www.instagram.com/p/DRMxw0VDy-u/,CUTE sounding Thai words
2025-11-10,Carousel,10,0,0,DQ4X8Q7j898,https://www.instagram.com/p/DQ4X8Q7j898/,When Thai word get emotional.
2025-10-14,Carousel,14,0,0,DPyhhGvD7ep,https://www.instagram.com/p/DPyhhGvD7ep/,"Why does Thailand have the ""7 days, 7 colors"" concept?"
2025-10-12,Carousel,10,0,0,DPtqjPUjwmK,https://www.instagram.com/p/DPtqjPUjwmK/,Thai dishes that foreigners must try when visiting Thailand.!!
2025-10-11,Carousel,12,0,0,DPquvEJj1-Q,https://www.instagram.com/p/DPquvEJj1-Q/,10 Thai Words & Phrases Tourists
